AppName,TCID,STATUS,EXEDATE,ENV|CODE|DATA|REQ,TestCaseID,WeekDay,Special,Day Weight,Function,Defect,mWeekDay,mSpecial
OnePlan,1,Fail,1/1/2016,"PROD2.0|import plotly|The plotly.plotly module is deprecated,|importing",10001,Friday,New Year,3,End to End,Data,3,5
OnePlan,2,Fail,1/2/2016,STG2.0|for x in range(10)|List out of index [15]|looping,10002,Saturday,0,3,Cart Updation,Environment,3,0
OnePlan,3,Fail,1/3/2016,PROD2.0|Not compatible with IOS 13|Update not found|Updating,10003,Sunday,0,4,Tag,Data,4,0
OnePlan,4,Pass,1/4/2016,0,10004,Monday,0,1,login,0,1,0
OnePlan,5,Pass,1/5/2016,0,10005,Tuesday,0,1,Custom Badging,0,1,0
OnePlan,6,Fail,1/6/2016,"DEV2.0|print(""a[10]"")|No varible named a|retrive data",10006,Wednesday,0,1,End to End,Requirement,1,0
OnePlan,7,Pass,1/7/2016,0,10007,Thursday,0,1,Tag,0,1,0
OnePlan,8,Pass,1/8/2016,0,10008,Friday,0,3,Cart Updation,0,3,0
OnePlan,9,Pass,1/9/2016,0,10009,Saturday,0,3,Cart Updation,0,3,0
OnePlan,10,Pass,1/10/2016,0,10010,Sunday,0,4,login,0,4,0
OnePlan,11,Fail,1/11/2016,"PROD2.0|data.replace(data.Name, 'NA')|Not replacing all values in Name column|manipulating data",10011,Monday,0,1,Subscribe,Functional,1,0
OnePlan,12,Fail,1/12/2016,STG2.0|import matplotlib.pyplot as plt|matplotlib: Package not found|importing,10012,Tuesday,0,1,Register,Data,1,0
OnePlan,13,Fail,1/13/2016,PROD2.0|import numpy as np|numpy: Package not found|importing,10013,Wednesday,0,1,Promo,Functional,1,0
OnePlan,14,Pass,1/14/2016,0,10014,Thursday,0,1,Promo,0,1,0
OnePlan,15,Fail,1/15/2016,UAT2.0|import pandasa as pd|pandas: Package not found|importing,10015,Friday,0,3,login,Data,3,0
OnePlan,16,Pass,1/16/2016,0,10016,Saturday,0,3,Custom Badging,0,3,0
OnePlan,17,Fail,1/17/2016,UAT2.0|import pandasa as pd|pandasa: Package not found|importing,10017,Sunday,0,4,Subscribe,Requirement,4,0
OnePlan,18,Pass,1/18/2016,0,10018,Monday,0,1,Register,0,1,0
OnePlan,19,Pass,1/19/2016,0,10019,Tuesday,0,1,Register,0,1,0
OnePlan,20,Pass,1/20/2016,0,10020,Wednesday,0,1,End to End,0,1,0
OnePlan,21,Pass,1/21/2016,0,10021,Thursday,0,1,Register,0,1,0
OnePlan,22,Pass,1/22/2016,0,10022,Friday,0,3,Register,0,3,0
OnePlan,23,Fail,1/23/2016,"STG2.0|print(data[""Weight""].std())|column doesnot exist|standard variations",10023,Saturday,0,3,Cart Updation,Environment,3,0
OnePlan,24,Fail,1/24/2016,UAT2.0|form.submit(name[0])|Array index out of bounds|Need to specify name,10024,Sunday,0,4,Promo,Requirement,4,0
OnePlan,25,Pass,1/25/2016,0,10025,Monday,0,1,Custom Badging,0,1,0
OnePlan,26,Fail,1/26/2016,DEV2.0|plt.show()|displaying graph without plotting it|plotting,10026,Tuesday,0,1,Register,Data,1,0
OnePlan,27,Fail,1/27/2016,STG2.0|for i in Age|list index out of range|looping,10027,Wednesday,0,1,Tag,Functional,1,0
OnePlan,28,Pass,1/28/2016,0,10028,Thursday,0,1,Register,0,1,0
OnePlan,29,Pass,1/29/2016,0,10029,Friday,0,3,Custom Badging,0,3,0
OnePlan,30,Pass,1/30/2016,0,10030,Saturday,0,3,Custom Badging,0,3,0
OnePlan,31,Fail,1/31/2016,STG2.0|for i in Age|list index out of range|looping,10031,Sunday,0,4,Subscribe,Environment,4,0
OnePlan,32,Pass,2/1/2016,0,10032,Monday,0,1,Badging,0,1,0
OnePlan,33,Fail,2/2/2016,PROD2.0|Not compatible with IOS 13|Update not found|Updating,10033,Tuesday,0,1,Cart Updation,Functional,1,0
OnePlan,34,Pass,2/3/2016,0,10034,Wednesday,0,1,End to End,0,1,0
OnePlan,35,Fail,2/4/2016,"STG2.0|for i,j in range()|range expected 1 arguments|parsing",10035,Thursday,0,1,Tag,Functional,1,0
OnePlan,36,Pass,2/5/2016,0,10036,Friday,0,3,Badging,0,3,0
OnePlan,37,Pass,2/6/2016,0,10037,Saturday,0,3,Promo,0,3,0
OnePlan,38,Fail,2/7/2016,DEV2.0|print(df.columns)|df: undefined dataframe|retrive data,10038,Sunday,0,4,Register,Functional,4,0
OnePlan,39,Pass,2/8/2016,0,10039,Monday,0,1,Unsubscribe,0,1,0
OnePlan,40,Pass,2/9/2016,0,10040,Tuesday,0,1,Tag,0,1,0
OnePlan,41,Fail,2/10/2016,PROD2.0|import seaborn as sns|seaborn: Package not found|Coloring,10041,Wednesday,0,1,login,Data,1,0
OnePlan,42,Fail,2/11/2016,DEV2.0|plt.show()|plt:undefined name|displaying,10042,Thursday,0,1,Custom Badging,Requirement,1,0
OnePlan,43,Pass,2/12/2016,0,10043,Friday,0,3,Subscribe,0,3,0
OnePlan,44,Pass,2/13/2016,0,10044,Saturday,0,3,Subscribe,0,3,0
OnePlan,45,Fail,2/14/2016,"PROD2.0|import plotly|The plotly.plotly module is deprecated,|importing",10045,Sunday,0,4,Tag,Functional,4,0
OnePlan,46,Fail,2/15/2016,STG2.0|for x in range(10)|List out of index [15]|looping,10046,Monday,0,1,login,Environment,1,0
OnePlan,47,Pass,2/16/2016,0,10047,Tuesday,0,1,End to End,0,1,0
OnePlan,48,Pass,2/17/2016,0,10048,Wednesday,0,1,End to End,0,1,0
OnePlan,49,Pass,2/18/2016,0,10049,Thursday,0,1,Unsubscribe,0,1,0
OnePlan,50,Fail,2/19/2016,"STG2.0|for i in range(0,2)|List out of Index [23]|looping",10050,Friday,0,3,Subscribe,Requirement,3,0
OnePlan,51,Fail,2/20/2016,"DEV2.0|print(""sum is"",a+b)|No varibles named a and b|retrive data",10051,Saturday,0,3,Unsubscribe,Requirement,3,0
OnePlan,52,Pass,2/21/2016,0,10052,Sunday,0,4,Cart Updation,0,4,0
OnePlan,53,Pass,2/22/2016,0,10053,Monday,0,1,Tag,0,1,0
OnePlan,54,Pass,2/23/2016,0,10054,Tuesday,0,1,Unsubscribe,0,1,0
OnePlan,55,Fail,2/24/2016,STG2.0| if i>5 |SyntaxError: invalid syntax |decision control,10055,Wednesday,0,1,End to End,Environment,1,0
OnePlan,56,Fail,2/25/2016,UAT2.0|import pandasa as pd|pandas: Package not found|importing,10056,Thursday,0,1,login,Data,1,0
OnePlan,57,Pass,2/26/2016,0,10057,Friday,0,3,Subscribe,0,3,0
OnePlan,58,Pass,2/27/2016,0,10058,Saturday,0,3,Badging,0,3,0
OnePlan,59,Fail,2/28/2016,"DEV2.0|print(""sum is"",a+b)|No varibles named a and b|retrive data",10059,Sunday,0,4,Register,Data,4,0
OnePlan,60,Fail,2/29/2016,"STG2.0|print(data[""Weight""].std())|column doesnot exist|standard variations",10060,Monday,0,1,Badging,Functional,1,0
OnePlan,61,Pass,3/1/2016,0,10061,Tuesday,0,1,login,0,1,0
OnePlan,62,Pass,3/2/2016,0,10062,Wednesday,0,1,Custom Badging,0,1,0
